question_id,article_id,content_hash,passage_title,question_preview,score,status,passed_total,failed_checks,run_id,clarity_precision,difficulty_assessment,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment,too_close
quiz_302827,article_101101,365c3fe00088,Second Sons,"According to the passage, why did many younger sons becom...",73%,❌,8/11,"length_check, plausibility, standard_alignment",20260112_190042,✅,✅,✅,✅,❌,✅,❌,✅,✅,❌,✅
quiz_302827_sibling_1,article_101101,8e43b85d6be3,Second Sons,What does the author think about how European laws treate...,91%,✅,10/11,length_check,20260112_190042,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302827_sibling_2,article_101101,f8d0a857d4da,Second Sons,"Based on the passage, what did daughters receive under pr...",82%,✅,9/11,"length_check, standard_alignment",20260112_190042,✅,✅,✅,✅,❌,✅,✅,✅,✅,❌,✅
quiz_302827_sibling_3,article_101101,ffcd471ff7c9,Second Sons,"According to the beginning of the passage, what pattern d...",91%,✅,10/11,standard_alignment,20260112_190042,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302827_sibling_4,article_101101,2e5f1f7525f5,Second Sons,What point of view does the author express when asking 'A...,91%,✅,10/11,plausibility,20260112_190042,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302828,article_101101,00c865c3a8c2,Second Sons,How does the author mostly present the information in the...,91%,✅,10/11,difficulty_assessment,20260112_190042,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302828_sibling_1,article_101101,1c63a45dd579,Second Sons,How does the passage organize the information about what...,91%,✅,10/11,difficulty_assessment,20260112_190042,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302828_sibling_2,article_101101,86d091a36351,Second Sons,The passage uses the Duke of Richland example to show a c...,100%,✅,11/11,,20260112_190042,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302828_sibling_3,article_101101,a3bb1a54fe8a,Second Sons,What connection does the passage make between primogenitu...,91%,✅,10/11,difficulty_assessment,20260112_190042,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302828_sibling_4,article_101101,c889e1bfc4cf,Second Sons,"Based on the passage, how does the author connect the Duk...",64%,❌,7/11,"difficulty_assessment, homogeneity, length_check, plausibility",20260112_190042,✅,❌,✅,❌,❌,✅,❌,✅,✅,✅,✅
quiz_302829,article_101101,a1f90028642a,Second Sons,"According to the passage, why did noble families want pri...",82%,✅,9/11,"grammatical_parallel, plausibility",20260112_190042,✅,✅,❌,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302829_sibling_1,article_101101,788d68b53a24,Second Sons,"According to the passage, what happened to a king's land...",100%,✅,11/11,,20260112_190042,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302829_sibling_2,article_101101,e34421ee596b,Second Sons,"Based on the passage, what can you conclude about why the...",82%,✅,9/11,"difficulty_assessment, length_check",20260112_190042,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302829_sibling_3,article_101101,d85a8481617e,Second Sons,"According to the passage, what did younger sons and daugh...",82%,✅,9/11,"difficulty_assessment, length_check",20260112_190042,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302829_sibling_4,article_101101,62ee44a5e2a4,Second Sons,The passage explains that younger sons 'went in search of...,64%,❌,7/11,"clarity_precision, difficulty_assessment, passage_reference, plausibility",20260112_190042,❌,❌,✅,✅,✅,❌,❌,✅,✅,✅,✅
quiz_302830,article_101101,d925a0ddb3e8,Second Sons,What is the main idea of this passage?,100%,✅,11/11,,20260112_190042,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302830_sibling_1,article_101101,9bca6256d639,Second Sons,Which detail from the passage best supports the main idea...,82%,✅,9/11,"grammatical_parallel, specificity_balance",20260112_190042,✅,✅,❌,✅,✅,✅,✅,✅,❌,✅,✅
quiz_302830_sibling_2,article_101101,39a99ea0775b,Second Sons,How do the details about the Duke of Richland example sup...,82%,✅,9/11,"homogeneity, plausibility",20260112_190042,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302830_sibling_3,article_101101,cb2ea7c2573a,Second Sons,What main point does the author make by asking 'Can you g...,91%,✅,10/11,difficulty_assessment,20260112_190042,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302830_sibling_4,article_101101,bbb14549b192,Second Sons,"According to the passage, why did European laws say the o...",73%,❌,8/11,"difficulty_assessment, length_check, plausibility",20260112_190042,✅,❌,✅,✅,❌,✅,❌,✅,✅,✅,✅
