question_id,article_id,question_type,overall_score,passed,checks_passed,checks_total,passage_title,question_preview,grammatical_parallel_score,plausibility_score,homogeneity_score,specificity_balance_score,standard_alignment_score,clarity_precision_score,single_correct_answer_score,passage_reference_score,length_check_score,too_close_score,difficulty_assessment_score
quiz_302005,article_101001,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part I","In the story, the magician tells Aladdin that finding the...",1,1,1,1,1,1,1,1,0,1,1
quiz_302005_sibling_1,article_101001,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part I",What does the phrase 'the earth split open' describe in t...,1,1,1,1,1,1,1,1,1,1,1
quiz_302005_sibling_2,article_101001,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part I","According to the first paragraph, what does it mean that...",1,1,1,1,1,1,1,1,1,1,1
quiz_302005_sibling_3,article_101001,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part I",What does the magician mean when he says the lamp 'had am...,1,1,1,1,1,1,1,1,1,1,1
quiz_302005_sibling_4,article_101001,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part I","Based on paragraph 3, what does the phrase 'the ground lo...",1,1,1,1,1,1,1,1,1,1,1
quiz_302006,article_101001,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part I",What causes the magician to trap Aladdin in the cave?,0,1,1,1,1,1,1,1,1,1,1
quiz_302006_sibling_1,article_101001,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part I",What shows that the magician's real goal is to get the la...,1,1,1,1,1,1,1,1,1,1,1
quiz_302006_sibling_2,article_101001,MCQ,0.8181818181818182,True,9,11,"Aladdin and the Wonderful Lamp, Part I",How do the magician's actions in the beginning of the sto...,1,0,1,1,1,1,1,1,0,1,1
quiz_302006_sibling_3,article_101001,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part I","Based on the story, why does the magician choose Aladdin...",1,1,1,1,1,1,1,1,1,1,1
quiz_302006_sibling_4,article_101001,MCQ,0.8181818181818182,True,9,11,"Aladdin and the Wonderful Lamp, Part I",What evidence from the story shows that the magician neve...,1,1,1,1,1,1,1,1,0,1,0
quiz_302007,article_101001,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part I",What is the central message or lesson of this story about...,1,1,1,1,1,1,1,1,1,1,1
quiz_302007_sibling_1,article_101001,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part I",What lesson does this story teach about accepting help fr...,1,1,1,1,1,1,1,1,1,1,1
quiz_302007_sibling_2,article_101001,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part I",Which detail from the story best supports the message abo...,1,1,1,1,1,1,1,1,0,1,1
quiz_302007_sibling_3,article_101001,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part I",How does the author use the magician's actions throughout...,1,1,1,1,1,1,1,1,1,1,1
quiz_302007_sibling_4,article_101001,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part I",What does this story teach about trusting strangers who m...,1,1,1,1,1,1,1,1,1,1,1
quiz_302008,article_101001,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part I",Why does the magician pretend to be Aladdin’s uncle?,0,1,1,1,1,1,1,1,1,1,1
quiz_302008_sibling_1,article_101001,MCQ,0.8181818181818182,True,9,11,"Aladdin and the Wonderful Lamp, Part I",Why does the author include the detail that the magician...,1,1,1,1,1,1,1,1,0,1,0
quiz_302008_sibling_2,article_101001,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part I",What is the magician's real reason for pretending to be p...,1,1,1,1,1,1,1,1,1,1,1
quiz_302008_sibling_3,article_101001,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part I",How does the magician's behavior at the end of the story...,1,1,1,1,1,1,1,1,1,1,1
quiz_302008_sibling_4,article_101001,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part I","Based on evidence throughout the story, what was the magi...",1,1,1,1,1,1,1,1,0,1,1
quiz_302013,article_101002,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part II",How does Aladdin most likely feel when he sees the forty...,1,0,1,1,1,1,1,1,1,1,1
quiz_302013_sibling_1,article_101002,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part II","Based on the story, what does Aladdin do when his mother...",1,1,1,1,1,1,1,1,1,1,1
quiz_302013_sibling_2,article_101002,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part II",How does the Sultan's attitude change after seeing the gems?,1,1,1,1,1,1,1,1,0,1,1
quiz_302013_sibling_3,article_101002,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part II",How does Aladdin's mother react when she first sees the g...,1,1,1,1,1,1,1,1,1,1,1
quiz_302013_sibling_4,article_101002,MCQ,0.8181818181818182,True,9,11,"Aladdin and the Wonderful Lamp, Part II",Why does Aladdin's mother change from laughing at his ide...,1,0,1,1,1,1,1,1,1,1,0
quiz_302014,article_101002,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part II",What helps Aladdin the most in this story?,1,1,1,1,0,1,1,1,1,1,1
quiz_302014_sibling_1,article_101002,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part II",What lesson does the story teach about being resourceful?,1,1,1,1,1,1,1,1,1,1,1
quiz_302014_sibling_2,article_101002,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part II","Based on the story, what central message is shown through...",1,1,1,1,1,1,1,1,1,1,1
quiz_302014_sibling_3,article_101002,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part II",What is the central message of this story about Aladdin?,1,1,1,1,1,1,1,1,0,1,1
quiz_302014_sibling_4,article_101002,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part II",What central message does the story teach about solving p...,1,1,1,1,1,1,1,1,1,1,1
quiz_302015,article_101002,MCQ,0.7272727272727273,False,8,11,"Aladdin and the Wonderful Lamp, Part II",Why did the author write this story about Aladdin?,1,0,0,1,0,1,1,1,1,1,1
quiz_302015_sibling_1,article_101002,MCQ,0.8181818181818182,True,9,11,"Aladdin and the Wonderful Lamp, Part II",Why did the author most likely include the scene where Al...,1,0,1,1,1,1,1,1,1,1,0
quiz_302015_sibling_2,article_101002,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part II",What point of view does the author want readers to have a...,1,1,1,1,1,1,1,1,0,1,1
quiz_302015_sibling_3,article_101002,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part II",Why does the author include the Sultan's reaction to the ...,1,1,1,1,0,1,1,1,1,1,1
quiz_302015_sibling_4,article_101002,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part II",How does the narrator show readers that the Sultan's opin...,1,0,1,1,1,1,1,1,1,1,1
quiz_302016,article_101002,MCQ,0.8181818181818182,True,9,11,"Aladdin and the Wonderful Lamp, Part II",Which best describes how each section of this story build...,1,0,1,1,1,1,1,1,0,1,1
quiz_302016_sibling_1,article_101002,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part II",How does the beginning section in the cave connect to the...,1,1,1,1,1,1,1,1,1,1,1
quiz_302016_sibling_2,article_101002,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part II",What pattern does the author create by dividing the story...,1,1,1,1,1,1,1,1,1,1,1
quiz_302016_sibling_3,article_101002,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part II",How does the section where Aladdin escapes the cave build...,1,1,1,1,1,1,1,1,1,1,1
quiz_302016_sibling_4,article_101002,MCQ,0.8181818181818182,True,9,11,"Aladdin and the Wonderful Lamp, Part II",Which detail shows how the final section builds upon Alad...,1,0,1,1,1,1,1,1,1,1,0
quiz_302021,article_101003,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part III","Read the sentence.""The next morning, the Sultan woke up a...",1,0,1,1,1,1,1,1,1,1,1
quiz_302021_sibling_1,article_101003,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part III","Read the sentence from the passage.

""The magician hurrie...",1,0,1,1,1,1,1,1,1,1,1
quiz_302021_sibling_2,article_101003,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part III","What does it mean when the text says ""Poof! Suddenly Alad...",1,0,1,1,1,1,1,1,1,1,1
quiz_302021_sibling_3,article_101003,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part III","According to the story, what does the phrase ""I hear and...",1,1,1,1,1,1,1,1,0,1,1
quiz_302021_sibling_4,article_101003,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part III","Based on the text, what does the word commanded mean when...",1,1,1,1,1,1,1,1,1,1,1
quiz_302022,article_101003,MCQ,0.8181818181818182,True,9,11,"Aladdin and the Wonderful Lamp, Part III","In the story of Aladdin, why does the sorcerer disguise h...",0,1,1,1,1,1,1,1,0,1,1
quiz_302022_sibling_1,article_101003,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part III",Why does Aladdin hide when the princess invites the magic...,1,1,1,1,1,1,1,1,1,1,0
quiz_302022_sibling_2,article_101003,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part III",How do Aladdin and the princess work together to solve th...,1,1,1,1,1,1,1,1,1,1,0
quiz_302022_sibling_3,article_101003,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part III","According to the passage, what action does the princess t...",1,1,1,1,1,1,1,1,1,1,1
quiz_302022_sibling_4,article_101003,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part III","What does the magician's plan to shout ""New lamps for old...",1,0,1,1,1,1,1,1,1,1,1
quiz_302023,article_101003,MCQ,0.8181818181818182,True,9,11,"Aladdin and the Wonderful Lamp, Part III",What is the central lesson or moral that this story teaches?,0,0,1,1,1,1,1,1,1,1,1
quiz_302023_sibling_1,article_101003,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part III",What important lesson does the story teach through the pr...,0,1,1,1,1,1,1,1,1,1,1
quiz_302023_sibling_2,article_101003,MCQ,0.8181818181818182,True,9,11,"Aladdin and the Wonderful Lamp, Part III",How does trading the lamp affect the sequence of events i...,1,0,1,1,1,1,1,1,0,1,1
quiz_302023_sibling_3,article_101003,MCQ,0.8181818181818182,True,9,11,"Aladdin and the Wonderful Lamp, Part III","Based on the passage, why does Aladdin become ""very sad a...",1,0,1,1,1,1,1,1,0,1,1
quiz_302023_sibling_4,article_101003,MCQ,0.8181818181818182,True,9,11,"Aladdin and the Wonderful Lamp, Part III",What can you conclude about Aladdin's character based on...,1,0,1,1,1,1,1,1,1,1,0
quiz_302024,article_101003,MCQ,0.6363636363636364,False,7,11,"Aladdin and the Wonderful Lamp, Part III",Why was it a mistake for the princess to trade the old la...,1,0,0,0,1,1,1,1,0,1,1
quiz_302024_sibling_1,article_101003,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part III",Why is it significant that Aladdin remembers his magic ri...,1,1,1,1,1,1,1,1,1,1,1
quiz_302024_sibling_2,article_101003,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part III",What does the ending of the story suggest about what make...,1,1,1,1,1,1,1,1,1,1,0
quiz_302024_sibling_3,article_101003,MCQ,1.0,True,11,11,"Aladdin and the Wonderful Lamp, Part III","According to the text, what is the main reason Aladdin's...",1,1,1,1,1,1,1,1,1,1,1
quiz_302024_sibling_4,article_101003,MCQ,0.9090909090909091,True,10,11,"Aladdin and the Wonderful Lamp, Part III",How does the author show that the mistake with the lamp h...,1,0,1,1,1,1,1,1,1,1,1
quiz_302029,article_101004,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part I",What causes Alice to follow the White Rabbit down the hole?,1,1,1,1,1,1,1,1,1,1,1
quiz_302029_sibling_1,article_101004,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part I",How does Alice's feeling about falling change by the time...,1,1,1,1,1,1,1,1,1,1,1
quiz_302029_sibling_2,article_101004,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part I","Based on the passage, what shows that Alice makes decisio...",1,1,1,1,1,1,0,1,1,1,0
quiz_302029_sibling_3,article_101004,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part I",Which detail from the beginning of the story explains why...,1,1,1,1,1,1,1,1,1,0,1
quiz_302029_sibling_4,article_101004,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part I","According to the passage, what action does Alice take imm...",1,1,1,1,1,1,1,1,0,1,1
quiz_302030,article_101004,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part I",What is the central message of this story about Alice's a...,1,1,1,1,1,1,0,1,0,1,1
quiz_302030_sibling_1,article_101004,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part I",What lesson can readers learn from Alice's experience in...,1,0,1,1,1,1,1,1,0,1,1
