question_id,article_id,source,overall_score,grammatical_parallel,plausibility,homogeneity,specificity_balance,standard_alignment,clarity_precision,single_correct_answer,passage_reference,length_check,too_close,difficulty_assessment
quiz_302005,article_101001,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302005_sibling_1,article_101001,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302005_sibling_2,article_101001,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302005_sibling_3,article_101001,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302005_sibling_4,article_101001,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302006,article_101001,original,0.9090909090909091,0,1,1,1,1,1,1,1,1,1,1
quiz_302006_sibling_1,article_101001,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302006_sibling_2,article_101001,original,0.8181818181818182,1,0,1,1,1,1,1,1,0,1,1
quiz_302006_sibling_3,article_101001,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302006_sibling_4,article_101001,original,0.8181818181818182,1,1,1,1,1,1,1,1,0,1,0
quiz_302007,article_101001,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302007_sibling_1,article_101001,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302007_sibling_2,article_101001,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302007_sibling_3,article_101001,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302007_sibling_4,article_101001,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302008,article_101001,original,0.9090909090909091,0,1,1,1,1,1,1,1,1,1,1
quiz_302008_sibling_1,article_101001,original,0.8181818181818182,1,1,1,1,1,1,1,1,0,1,0
quiz_302008_sibling_2,article_101001,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302008_sibling_3,article_101001,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302008_sibling_4,article_101001,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302013,article_101002,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302013_sibling_1,article_101002,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302013_sibling_2,article_101002,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302013_sibling_3,article_101002,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302013_sibling_4,article_101002,original,0.8181818181818182,1,0,1,1,1,1,1,1,1,1,0
quiz_302014,article_101002,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302014_sibling_1,article_101002,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302014_sibling_2,article_101002,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302014_sibling_3,article_101002,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302014_sibling_4,article_101002,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302015,article_101002,original,0.7272727272727273,1,0,0,1,0,1,1,1,1,1,1
quiz_302015_sibling_1,article_101002,original,0.8181818181818182,1,0,1,1,1,1,1,1,1,1,0
quiz_302015_sibling_2,article_101002,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302015_sibling_3,article_101002,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302015_sibling_4,article_101002,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302016,article_101002,original,0.8181818181818182,1,0,1,1,1,1,1,1,0,1,1
quiz_302016_sibling_1,article_101002,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302016_sibling_2,article_101002,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302016_sibling_3,article_101002,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302016_sibling_4,article_101002,original,0.8181818181818182,1,0,1,1,1,1,1,1,1,1,0
quiz_302021,article_101003,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302021_sibling_1,article_101003,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302021_sibling_2,article_101003,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302021_sibling_3,article_101003,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302021_sibling_4,article_101003,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302022,article_101003,original,0.8181818181818182,0,1,1,1,1,1,1,1,0,1,1
quiz_302022_sibling_1,article_101003,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302022_sibling_2,article_101003,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302022_sibling_3,article_101003,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302022_sibling_4,article_101003,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302023,article_101003,original,0.8181818181818182,0,0,1,1,1,1,1,1,1,1,1
quiz_302023_sibling_1,article_101003,original,0.9090909090909091,0,1,1,1,1,1,1,1,1,1,1
