question_id,status,score,checks_passed,checks_total,question_text,option_A,option_B,option_C,option_D,correct_answer,CCSS,DOK,01_correctness_explanation_status,01_correctness_explanation_reason,02_textual_evidence_status,02_textual_evidence_reason,03_skill_reinforcement_status,03_skill_reinforcement_reason,04_specific_error_status,04_specific_error_reason,05_misconception_diagnosis_status,05_misconception_diagnosis_reason,06_textual_refutation_status,06_textual_refutation_reason,07_correct_guidance_status,07_correct_guidance_reason,08_actionable_strategy_status,08_actionable_strategy_reason,09_reasoning_model_status,09_reasoning_model_reason,10_tone_status,10_tone_reason,11_conciseness_status,11_conciseness_reason,12_grade_appropriateness_status,12_grade_appropriateness_reason
guiding_21014_302001_sibling_1,❌ FAILED,67%,6,9,"When Aladdin's father died, his mother had to work hard to earn money for",travel and adventures,food and shelter,fancy clothes and jewelry,books and school supplies,B,RL.3.1,1,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,
guiding_21014_302001_sibling_1,✅ PASSED,100%,6,6,"When Aladdin's father died, his mother had to work hard to earn money for",travel and adventures,food and shelter,fancy clothes and jewelry,books and school supplies,B,RL.3.1,1,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,
guiding_21014_302001_sibling_1,❌ FAILED,67%,6,9,"When Aladdin's father died, his mother had to work hard to earn money for",travel and adventures,food and shelter,fancy clothes and jewelry,books and school supplies,B,RL.3.1,1,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,
guiding_21014_302001_sibling_1,❌ FAILED,56%,5,9,"When Aladdin's father died, his mother had to work hard to earn money for",travel and adventures,food and shelter,fancy clothes and jewelry,books and school supplies,B,RL.3.1,1,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,
guiding_21015_302002_sibling_1,❌ FAILED,56%,5,9,Which word best describes how the magician acts when Aladdin cannot hand him the lamp right away?,patient,playful,angry,thankful,C,RL.3.3,1,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,
guiding_21015_302002_sibling_1,❌ FAILED,56%,5,9,Which word best describes how the magician acts when Aladdin cannot hand him the lamp right away?,patient,playful,angry,thankful,C,RL.3.3,1,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,
guiding_21015_302002_sibling_1,✅ PASSED,100%,6,6,Which word best describes how the magician acts when Aladdin cannot hand him the lamp right away?,patient,playful,angry,thankful,C,RL.3.3,1,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,
guiding_21015_302002_sibling_1,❌ FAILED,67%,6,9,Which word best describes how the magician acts when Aladdin cannot hand him the lamp right away?,patient,playful,angry,thankful,C,RL.3.3,1,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,
guiding_21016_302003_sibling_1,✅ PASSED,89%,8,9,The reader can tell this story is a fantasy because the magician,traveled from far away,promised to help Aladdin,spoke magic words that made the sky turn dark,climbed up a steep mountain,C,RL.3.5,2,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,
guiding_21016_302003_sibling_1,✅ PASSED,78%,7,9,The reader can tell this story is a fantasy because the magician,traveled from far away,promised to help Aladdin,spoke magic words that made the sky turn dark,climbed up a steep mountain,C,RL.3.5,2,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,,❌,
