question_id,article_id,overall_score,passed,checks_passed,checks_total,grammatical_parallel,plausibility,homogeneity,specificity_balance,standard_alignment,clarity_precision,single_correct_answer,passage_reference,length_check,too_close,difficulty_assessment
quiz_302005,article_101001,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302005_sibling_1,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302005_sibling_2,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302005_sibling_3,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302005_sibling_4,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302006,article_101001,0.9090909090909091,True,10,11,0,1,1,1,1,1,1,1,1,1,1
quiz_302006_sibling_1,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302006_sibling_2,article_101001,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,0,1,1
quiz_302006_sibling_3,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302006_sibling_4,article_101001,0.8181818181818182,True,9,11,1,1,1,1,1,1,1,1,0,1,0
quiz_302007,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302007_sibling_1,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302007_sibling_2,article_101001,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302007_sibling_3,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302007_sibling_4,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302008,article_101001,0.9090909090909091,True,10,11,0,1,1,1,1,1,1,1,1,1,1
quiz_302008_sibling_1,article_101001,0.8181818181818182,True,9,11,1,1,1,1,1,1,1,1,0,1,0
quiz_302008_sibling_2,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302008_sibling_3,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302008_sibling_4,article_101001,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302013,article_101002,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302013_sibling_1,article_101002,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302013_sibling_2,article_101002,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302013_sibling_3,article_101002,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302013_sibling_4,article_101002,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,1,1,0
quiz_302014,article_101002,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302014_sibling_1,article_101002,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302014_sibling_2,article_101002,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
