question_id,article_id,content_hash,passage_title,question_preview,score,status,passed_total,failed_checks,run_id,clarity_precision,difficulty_assessment,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment,too_close
quiz_302412,article_101051,fd1479519287,The Rise of Christianity,The author of this passage would most likely agree that,82%,✅,9/11,"difficulty_assessment, plausibility",20260112_172559,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302412_sibling_1,article_101051,64824bed575d,The Rise of Christianity,"Based on the passage, what would the author most likely t...",91%,✅,10/11,standard_alignment,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302412_sibling_2,article_101051,7d3fb54f4c94,The Rise of Christianity,The author's description of Jesus's miracles suggests the...,82%,✅,9/11,"difficulty_assessment, standard_alignment",20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302412_sibling_3,article_101051,cd8dbe59584f,The Rise of Christianity,What perspective does the author show about the Roman emp...,91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302412_sibling_4,article_101051,31b338d29824,The Rise of Christianity,The author presents Constantine's mother becoming Christi...,91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302413,article_101051,b16f0e1bfe9a,The Rise of Christianity,How does the author mostly present the information in the...,91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302413_sibling_1,article_101051,a594751a60a4,The Rise of Christianity,How does the author organize the information about Christ...,82%,✅,9/11,"difficulty_assessment, too_close",20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302413_sibling_2,article_101051,b7593da52890,The Rise of Christianity,What connection does the author make between Christians r...,64%,❌,7/11,"difficulty_assessment, homogeneity, length_check, plausibility",20260112_172559,✅,❌,✅,❌,❌,✅,❌,✅,✅,✅,✅
quiz_302413_sibling_3,article_101051,7c4d7091639c,The Rise of Christianity,Why does the author explain that Paul was a Roman citizen?,91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302413_sibling_4,article_101051,e6c6c2ffb456,The Rise of Christianity,The author structures paragraph 5 to show,73%,❌,8/11,"difficulty_assessment, plausibility, standard_alignment",20260112_172559,✅,❌,✅,✅,✅,✅,❌,✅,✅,❌,✅
