question_id,score,status,passed,total,batch_result,clarity_precision,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment
quiz_302005,89%,✅,8,9,succeeded,✅,✅,✅,❌,✅,✅,✅,✅,✅
quiz_302005_sibling_1,100%,✅,9,9,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302005_sibling_2,100%,✅,9,9,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302005_sibling_3,100%,✅,9,9,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302005_sibling_4,100%,✅,9,9,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302006,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅
quiz_302006_sibling_1,100%,✅,9,9,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302006_sibling_2,78%,✅,7,9,succeeded,✅,✅,✅,❌,✅,❌,✅,✅,✅
quiz_302006_sibling_3,100%,✅,9,9,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302006_sibling_4,89%,✅,8,9,succeeded,✅,✅,✅,❌,✅,✅,✅,✅,✅
quiz_302007,100%,✅,9,9,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302007_sibling_1,100%,✅,9,9,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302007_sibling_2,89%,✅,8,9,succeeded,✅,✅,✅,❌,✅,✅,✅,✅,✅
quiz_302007_sibling_3,100%,✅,9,9,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302007_sibling_4,67%,❌,6,9,succeeded,✅,✅,❌,✅,✅,❌,✅,❌,✅
quiz_302008,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_1,89%,✅,8,9,succeeded,✅,✅,✅,❌,✅,✅,✅,✅,✅
quiz_302008_sibling_2,100%,✅,9,9,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_3,100%,✅,9,9,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_4,89%,✅,8,9,succeeded,✅,✅,✅,❌,✅,✅,✅,✅,✅
