question_id,article_id,content_hash,passage_title,question_preview,score,status,passed_total,failed_checks,run_id,clarity_precision,difficulty_assessment,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment,too_close
quiz_302005,article_101001,c1129dde7395,"Aladdin and the Wonderful Lamp, Part I","In the story, the magician tells Aladdin that finding the...",91%,✅,10/11,length_check,migrated_20251219,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302005_sibling_1,article_101001,3ef7013bb399,"Aladdin and the Wonderful Lamp, Part I",What does the phrase 'the earth split open' describe in t...,100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302005_sibling_2,article_101001,f6f8e41cb047,"Aladdin and the Wonderful Lamp, Part I","According to the first paragraph, what does it mean that...",100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302005_sibling_3,article_101001,d2e63fce1806,"Aladdin and the Wonderful Lamp, Part I",What does the magician mean when he says the lamp 'had am...,100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302005_sibling_4,article_101001,5e5f46d7910b,"Aladdin and the Wonderful Lamp, Part I","Based on paragraph 3, what does the phrase 'the ground lo...",100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302006,article_101001,f753be099ee5,"Aladdin and the Wonderful Lamp, Part I",What causes the magician to trap Aladdin in the cave?,91%,✅,10/11,grammatical_parallel,migrated_20251219,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302006_sibling_1,article_101001,10e5e17aaa50,"Aladdin and the Wonderful Lamp, Part I",What shows that the magician's real goal is to get the la...,100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302006_sibling_2,article_101001,a072504d7668,"Aladdin and the Wonderful Lamp, Part I",How do the magician's actions in the beginning of the sto...,82%,✅,9/11,"length_check, plausibility",migrated_20251219,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302006_sibling_3,article_101001,4ec2311456b1,"Aladdin and the Wonderful Lamp, Part I","Based on the story, why does the magician choose Aladdin...",100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302006_sibling_4,article_101001,9b033997dbc2,"Aladdin and the Wonderful Lamp, Part I",What evidence from the story shows that the magician neve...,82%,✅,9/11,"difficulty_assessment, length_check",migrated_20251219,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302007,article_101001,eb8c927f5388,"Aladdin and the Wonderful Lamp, Part I",What is the central message or lesson of this story about...,100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302007_sibling_1,article_101001,92e27552a521,"Aladdin and the Wonderful Lamp, Part I",What lesson does this story teach about accepting help fr...,100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302007_sibling_2,article_101001,cc2c24176dd4,"Aladdin and the Wonderful Lamp, Part I",Which detail from the story best supports the message abo...,91%,✅,10/11,length_check,migrated_20251219,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302007_sibling_3,article_101001,e1bee9578f4b,"Aladdin and the Wonderful Lamp, Part I",How does the author use the magician's actions throughout...,100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302007_sibling_4,article_101001,f9612139153d,"Aladdin and the Wonderful Lamp, Part I","Based on the whole story, what message can readers learn...",73%,❌,8/11,"homogeneity, plausibility, specificity_balance",migrated_20251219,✅,✅,✅,❌,✅,✅,❌,✅,❌,✅,✅
quiz_302008,article_101001,3004333b6e32,"Aladdin and the Wonderful Lamp, Part I",Why does the magician pretend to be Aladdin’s uncle?,91%,✅,10/11,grammatical_parallel,migrated_20251219,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_1,article_101001,25eeb0009d74,"Aladdin and the Wonderful Lamp, Part I",Why does the author include the detail that the magician...,82%,✅,9/11,"difficulty_assessment, length_check",migrated_20251219,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_2,article_101001,670869ba255e,"Aladdin and the Wonderful Lamp, Part I",What is the magician's real reason for pretending to be p...,100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_3,article_101001,c6de1b789e30,"Aladdin and the Wonderful Lamp, Part I",How does the magician's behavior at the end of the story...,100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_4,article_101001,9df076ecf270,"Aladdin and the Wonderful Lamp, Part I","Based on evidence throughout the story, what was the magi...",91%,✅,10/11,length_check,migrated_20251219,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302013,article_101002,a0e7b946608c,"Aladdin and the Wonderful Lamp, Part II",How does Aladdin most likely feel when he sees the forty...,91%,✅,10/11,plausibility,migrated_20251219,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302013_sibling_1,article_101002,52e07ec26b4f,"Aladdin and the Wonderful Lamp, Part II","Based on the story, what does Aladdin do when his mother...",100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302013_sibling_2,article_101002,34a433fc4505,"Aladdin and the Wonderful Lamp, Part II",How does the Sultan's attitude change after seeing the gems?,91%,✅,10/11,length_check,migrated_20251219,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302013_sibling_3,article_101002,6ccfc1ad15be,"Aladdin and the Wonderful Lamp, Part II",Why does Aladdin rub the ring in the cave?,73%,❌,8/11,"clarity_precision, plausibility, single_correct_answer",migrated_20251219,❌,✅,✅,✅,✅,✅,❌,❌,✅,✅,✅
quiz_302013_sibling_4,article_101002,8b701e4e18d3,"Aladdin and the Wonderful Lamp, Part II",Which detail shows that Aladdin acts bravely when the lam...,64%,❌,7/11,"clarity_precision, length_check, passage_reference, single_correct_answer",migrated_20251219,❌,✅,✅,✅,❌,❌,✅,❌,✅,✅,✅
quiz_302014,article_101002,446febf5ca05,"Aladdin and the Wonderful Lamp, Part II",What helps Aladdin the most in this story?,91%,✅,10/11,standard_alignment,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302014_sibling_1,article_101002,43d8cfa7c2fb,"Aladdin and the Wonderful Lamp, Part II",What lesson does the story teach about being resourceful?,100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302014_sibling_2,article_101002,20fe84646b9b,"Aladdin and the Wonderful Lamp, Part II","Based on the story, what central message is shown through...",100%,✅,11/11,,migrated_20251219,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302014_sibling_3,article_101002,52e245ce0f14,"Aladdin and the Wonderful Lamp, Part II",What does the story reveal about the importance of persis...,64%,❌,7/11,"clarity_precision, length_check, single_correct_answer, standard_alignment",migrated_20251219,❌,✅,✅,✅,❌,✅,✅,❌,✅,❌,✅
quiz_302014_sibling_4,article_101002,f87706a5212f,"Aladdin and the Wonderful Lamp, Part II",Which detail best shows the moral that cleverness is more...,55%,❌,6/11,"clarity_precision, length_check, plausibility, single_correct_answer, standard_alignment",migrated_20251219,❌,✅,✅,✅,❌,✅,❌,❌,✅,❌,✅
quiz_302015,article_101002,5c3112edb120,"Aladdin and the Wonderful Lamp, Part II",Why did the author write this story about Aladdin?,73%,❌,8/11,"homogeneity, plausibility, standard_alignment",migrated_20251219,✅,✅,✅,❌,✅,✅,❌,✅,✅,❌,✅
quiz_302015_sibling_1,article_101002,c8940cc2ce1c,"Aladdin and the Wonderful Lamp, Part II",Why did the author most likely include the scene where Al...,82%,✅,9/11,"difficulty_assessment, plausibility",migrated_20251219,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302015_sibling_2,article_101002,a33701c8a767,"Aladdin and the Wonderful Lamp, Part II",What point of view does the author want readers to have a...,91%,✅,10/11,length_check,migrated_20251219,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
