question_id,article_id,content_hash,passage_title,question_preview,score,status,passed_total,failed_checks,run_id,clarity_precision,difficulty_assessment,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment,too_close
quiz_302087,article_101011,243502d33c2c,"The Open Road, Part IV","Based on what happened in the story, where should Rat and...",89%,✅,8/9,grammatical_parallel,20260112_122138,✅,,❌,✅,✅,✅,✅,✅,✅,✅,
quiz_302087_sibling_1,article_101011,1b9c364ec0c1,"The Open Road, Part IV","According to the text, what did Toad do immediately after...",89%,✅,8/9,length_check,20260112_122138,✅,,✅,✅,❌,✅,✅,✅,✅,✅,
quiz_302087_sibling_2,article_101011,1f78192a2460,"The Open Road, Part IV",Why did Rat say they would have to walk to the nearest town?,100%,✅,9/9,,20260112_122138,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302087_sibling_3,article_101011,24d1f3f8a776,"The Open Road, Part IV",How did Mole show concern for Toad's safety when they pre...,89%,✅,8/9,length_check,20260112_122138,✅,,✅,✅,❌,✅,✅,✅,✅,✅,
quiz_302087_sibling_4,article_101011,a7d3195c9e9b,"The Open Road, Part IV","Based on the ending of the story, what did Toad actually...",100%,✅,9/9,,20260112_122138,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302088,article_101011,0d5316767a3c,"The Open Road, Part IV",Which statement accurately explains how Rat and Toad appr...,100%,✅,9/9,,20260112_122138,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302088_sibling_1,article_101011,e2e3a5392868,"The Open Road, Part IV",Which character trait does Toad show when he refuses to h...,100%,✅,9/9,,20260112_122138,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302088_sibling_2,article_101011,bf5973185447,"The Open Road, Part IV",How does Mole's response to the broken wagon differ from...,89%,✅,8/9,plausibility,20260112_122138,✅,,✅,✅,✅,✅,❌,✅,✅,✅,
quiz_302088_sibling_3,article_101011,f972731b3958,"The Open Road, Part IV",What does the story reveal about how Rat handles frustrat...,100%,✅,9/9,,20260112_122138,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302088_sibling_4,article_101011,0fd92a7d01f8,"The Open Road, Part IV","Based on the events, what motivates Toad to completely ig...",100%,✅,9/9,,20260112_122138,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302089,article_101011,599da586bc16,"The Open Road, Part IV",What is the main idea of this story about Toad?,100%,✅,9/9,,20260112_122138,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302089_sibling_1,article_101011,5f0da8e20587,"The Open Road, Part IV","According to the passage, what central event changes ever...",100%,✅,9/9,,20260112_122138,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302089_sibling_2,article_101011,64dff30bb478,"The Open Road, Part IV",What important idea does the story communicate through To...,67%,❌,6/9,"homogeneity, length_check, plausibility",20260112_122138,✅,,✅,❌,❌,✅,❌,✅,✅,✅,
quiz_302089_sibling_3,article_101011,9ee27f8a8f4b,"The Open Road, Part IV",How can you tell the difference between what Toad says he...,67%,❌,6/9,"length_check, plausibility, standard_alignment",20260112_122138,✅,,✅,✅,❌,✅,❌,✅,✅,❌,
quiz_302089_sibling_4,article_101011,96c4f84ce836,"The Open Road, Part IV",What does the text reveal about Mole's perspective compar...,67%,❌,6/9,"length_check, plausibility, standard_alignment",20260112_122138,✅,,✅,✅,❌,✅,❌,✅,✅,❌,
quiz_302090,article_101011,e5320d234b5b,"The Open Road, Part IV",This question is connected to the next question you will...,78%,❌,7/9,"length_check, plausibility",20260112_122138,✅,,✅,✅,❌,✅,❌,✅,✅,✅,
quiz_302090_sibling_1,article_101011,a23b85d684b3,"The Open Road, Part IV","Based on how the author describes Toad's behavior, what c...",89%,✅,8/9,length_check,20260112_122138,✅,,✅,✅,❌,✅,✅,✅,✅,✅,
quiz_302090_sibling_2,article_101011,c9b3c77586eb,"The Open Road, Part IV","In the story, why does Toad's attitude create a problem t...",67%,❌,6/9,"length_check, plausibility, standard_alignment",20260112_122138,✅,,✅,✅,❌,✅,❌,✅,✅,❌,
